SampleID,Az_true,El_true,AzSector,ElSector,Sector,MUSIC_Az,MUSIC_El,GCC_Angle,ILD_dB,RMS_mean,FFT_PeakFreq,SpecEntropyNorm
1,-86.2545988115264,9.50714306409916,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-86,10,9.55969507289417,-0.0107421314132759-7.54973728968667i,0.302525482221709+7.34416730419629e-05i,1917.890625,0.741162232824608
2,-85.7506173602121,1.38753361255837,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-84,6,1.21546650784668,0.0118519462903083-6.68434786351839i,0.308154397970995+7.64191550401694e-05i,2038.4765625,0.739774690189132
3,-87.8483587865665,4.60451242301548,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-88,4,4.57001098900704,0.00765998550856799-6.26774367429991i,0.302992460281063+0.000189391278798041i,1403.96484375,0.742725348207259
4,-84.1332682100673,3.36230269412085,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-84,-0,3.41730117339279,-0.0136866169608327-8.54122240455485i,0.284777469826385-3.08697054216683e-05i,1737.01171875,0.741427276099631
5,-81.7579608074062,9.59567438696316,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-82,10,9.58557939006864,0.00732923333745669-6.1765585531713i,0.309763653388459-4.09219298810187e-05i,953.203125,0.737636206700559
6,-85.7810535535946,6.32948471296234,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-86,11,6.28946426981512,0.0132332318125903-6.99473005003099i,0.296632419844437-0.000202883563031123i,1266.15234375,0.740926520304352
7,-85.2780042795523,8.36723789066016,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-85,7,8.39478555126196,-0.000785004859363229-6.7523327795732i,0.307148322119959-7.06563558174056e-05i,1699.6875,0.739525189524121
8,-82.2525710129509,7.87520533357274,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-83,8,7.86127330303891,0.0113368388171256-6.2961422250116i,0.299203284594542-6.06346950212597e-05i,1762.8515625,0.742622443784357
9,-82.6705269893927,1.71856833121076,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-82,-0,1.58214296035372,-0.00507171592885788-7.02048374652423i,0.303746648464232+6.1429967857865e-06i,2532.3046875,0.739196666213874
10,-81.0675699398881,5.70014111370747,Az_-90to-80,El_0to10,Az_-90to-80_El_0to10,-81,8,5.41454020789299,0.000382176342871801-8.34385756177935i,0.29306913160522-0.00060652191530506i,752.2265625,0.739244095838353
11,-86.5048477116036,16.2457706857346,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-87,17,16.3731043243666,0.0105864097221332-7.6568878475686i,0.30352566607128+0.000103315749475814i,872.8125,0.736649899690358
12,-88.4586874136895,13.9536439341106,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-88,13,14.1603932215686,-0.000208608192010081-8.11630551110181i,0.297481646469763-1.79173168307692e-05i,2394.4921875,0.738138354519531
13,-81.9574341232781,11.6267959545201,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-82,5,11.5129636873438,-0.0397581481612101-7.96950324836592i,0.298715477010814+0.000323315675656174i,1401.09375,0.742005984030768
14,-85.5105377130634,18.9883959557482,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-87,18,19.0566379460922,0.0163418855729344-5.7268020106968i,0.314303097789494-0.000153909562125604i,1986.796875,0.741646886181669
15,-88.2148470453712,14.9215551935146,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-87,13,15.0208234841668,-0.020195761133756-7.77417448930448i,0.300205910545264-0.000197329097806738i,1045.078125,0.739779112514668
16,-80.6372421293667,19.2310035834932,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-81,20,19.0968392364579,0.0221803259672695-6.08605079186177i,0.3104345860069-0.000111675607720588i,757.96875,0.74194577430153
17,-89.5123447489817,10.2628040223405,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-89,11,10.1794114518367,-0.0158741670794353-7.42771323999859i,0.301669487992411+2.91699488893377e-06i,427.79296875,0.739433564932917
18,-85.5370722060439,11.5386318429252,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-85,6,11.4333946047625,-0.0214548386580588-5.91876713670666i,0.307835037249411-0.000507455436971498i,700.546875,0.74156694523109
19,-89.8745120073343,16.9393085905911,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-89,16,16.8628813374069,-0.0101058779477026-8.14010821933907i,0.297095062505827+3.31819363231373e-05i,1205.859375,0.738781792804575
